text,category
"Eu amo programar em Python",positivo
"O tempo está horrível hoje",negativo
"Este filme é fantástico",positivo
"Eu odeio esperar na fila",negativo
"Estou feliz com os resultados",positivo
"Meu time de futebol ganhou!",positivo
"Estou frustrado com o trânsito",negativo
"Adorei o novo restaurante",positivo
"Estou cansado e estressado",negativo
"Esse livro é muito inspirador",positivo
"Estou animado para o fim de semana",positivo
"Não gostei do atendimento no banco",negativo
"O dia está lindo hoje",positivo
"Estou preocupado com a situação",negativo
"Estou aprendendo novas habilidades",positivo
"Não aguento mais essa situação",negativo
"Estou grato pelas oportunidades",positivo
"O serviço de internet está péssimo",negativo
"Estou contente com minha vida",positivo
"Fiquei muito irritado com a demora",negativo
